Obec;M(e);u1;u2;u3;o1;o2;o3
1;1650;0;0;0;0;0;0
2;1448;0;0;0;0;0;0
3;935;0;0;0;0;0;0
4;590;0;0;0;0;0;0
5;654;0;0;0;0;0;0
6;410;0;0;0;0;0;0
7;253;0;0;0;0;0;0
8;101;0;0;0;0;0;0
9;109;0;0;0;0;0;0
10;77;0;0;0;0;0;0
11;42;0;0;0;0;0;0
12;40;0;0;0;0;0;0
13;43;0;0;0;0;0;0
14;555;0;0;0;0;0;0
15;333;0;0;0;0;0;0
16;223;0;0;0;0;0;0
17;207;0;0;0;0;0;0
18;144;0;0;0;0;0;0
19;145;0;0;0;0;0;0
20;97;0;0;0;0;0;0
21;74;0;0;0;0;0;0
22;80;0;0;0;0;0;0
23;45;0;0;0;0;0;0
24;476;0;0;0;0;0;0
25;388;0;0;0;0;0;0
26;240;0;0;0;0;0;0
27;185;0;0;0;0;0;0
28;164;0;0;0;0;0;0
29;90;0;0;0;0;0;0
30;103;0;0;0;0;0;0
31;89;0;0;0;0;0;0
32;52;0;0;0;0;0;0
33;48;0;0;0;0;0;0
34;1353;0;0;0;0;0;0
35;1243;0;0;0;0;0;0
36;930;0;0;0;0;0;0
37;304;0;0;0;0;0;0
38;228;0;0;0;0;0;0
39;171;0;0;0;0;0;0
40;155;0;0;0;0;0;0
41;167;0;0;0;0;0;0
42;167;0;0;0;0;0;0
43;153;0;0;0;0;0;0
44;69;0;0;0;0;0;0
45;105;0;0;0;0;0;0
46;58;0;0;0;0;0;0
47;1170;0;0;0;0;0;0
48;520;0;0;0;0;0;0
49;425;0;0;0;0;0;0
50;561;0;0;0;0;0;0
51;354;0;0;0;0;0;0
52;253;0;0;0;0;0;0
53;91;0;0;0;0;0;0
54;37;0;0;0;0;0;0
55;3778;0;0;0;0;0;0
56;835;0;0;0;0;0;0
57;422;0;0;0;0;0;0
58;308;0;0;0;0;0;0
59;241;0;0;0;0;0;0
60;401;0;0;0;0;0;0
61;149;0;0;0;0;0;0
62;140;0;0;0;0;0;0
63;100;0;0;0;0;0;0
64;98;0;0;0;0;0;0
65;680;0;0;0;0;0;0
66;86;0;0;0;0;0;0
67;72;0;0;0;0;0;0
68;159;0;0;0;0;0;0
69;49;0;0;0;0;0;0
70;58;0;0;0;0;0;0
71;121;0;0;0;0;0;0
72;51;0;0;0;0;0;0
73;52;0;0;0;0;0;0
74;23;0;0;0;0;0;0
75;33;0;0;0;0;0;0
76;667;0;0;0;0;0;0
77;586;0;0;0;0;0;0
78;331;0;0;0;0;0;0
79;242;0;0;0;0;0;0
