iteration,owner_loss,other_loss,u1,u2,u3
0,0.6,0.6,4134.0,10776.0,4390.0
0,0.6,0.61,3834.0,10827.0,6269.0
0,0.6,0.62,3876.0,10417.0,3739.0
0,0.6,0.63,3907.0,11388.0,5278.0
0,0.6,0.64,4139.0,10231.0,5287.0
0,0.6,0.65,5144.0,10997.0,4727.0
0,0.6,0.66,4214.0,11229.0,6446.0
0,0.6,0.6699999999999999,5675.0,10875.0,6359.0
0,0.6,0.6799999999999999,3755.0,11450.0,5199.0
0,0.6,0.69,4922.0,9739.0,7858.0
0,0.6,0.7,6066.0,8985.0,7776.0
0,0.6,0.71,5809.0,8530.0,5026.0
0,0.6,0.72,3947.0,12068.0,5206.0
0,0.6,0.73,5055.0,10982.0,4708.0
0,0.6,0.74,5789.0,11305.0,5030.0
0,0.6,0.75,4377.0,11671.0,8394.0
0,0.6,0.76,5664.0,11670.0,5960.0
0,0.6,0.77,4654.0,10692.0,5428.0
0,0.6,0.78,3287.0,13357.0,6780.0
0,0.6,0.79,5252.0,12785.0,5754.0
0,0.6,0.8,4524.0,13428.0,7327.0
0,0.6,0.81,4590.0,13644.0,7428.0
0,0.6,0.8200000000000001,4399.0,14492.0,6337.0
0,0.6,0.8300000000000001,2674.0,13664.0,7425.0
0,0.6,0.8400000000000001,4888.0,13582.0,3775.0
0,0.6,0.8500000000000001,4495.0,12159.0,6883.0
0,0.6,0.8600000000000001,6238.0,15756.0,3872.0
0,0.6,0.8700000000000001,3527.0,15675.0,7243.0
0,0.6,0.88,6129.0,13186.0,8664.0
0,0.6,0.89,7322.0,14087.0,7045.0
0,0.6,0.9,5610.0,16005.0,8475.0
1,0.61,0.6,3155.0,11214.0,3494.0
1,0.61,0.61,4437.0,10450.0,5499.0
1,0.61,0.62,4279.0,11006.0,4833.0
1,0.61,0.63,5129.0,10606.0,4995.0
1,0.61,0.64,6958.0,8402.0,4021.0
1,0.61,0.65,5950.0,11612.0,4006.0
1,0.61,0.66,5158.0,11678.0,3686.0
1,0.61,0.6699999999999999,5672.0,10277.0,3304.0
1,0.61,0.6799999999999999,4980.0,11431.0,4282.0
1,0.61,0.69,5227.0,11707.0,5042.0
1,0.61,0.7,6102.0,10983.0,4282.0
1,0.61,0.71,4747.0,10310.0,4224.0
1,0.61,0.72,4110.0,11789.0,5595.0
1,0.61,0.73,6478.0,11671.0,5685.0
1,0.61,0.74,3848.0,12430.0,7147.0
1,0.61,0.75,6287.0,12695.0,5928.0
1,0.61,0.76,5903.0,12996.0,5637.0
1,0.61,0.77,5920.0,10803.0,4239.0
1,0.61,0.78,3333.0,11808.0,6482.0
1,0.61,0.79,6641.0,12584.0,6597.0
1,0.61,0.8,4567.0,14545.0,5018.0
1,0.61,0.81,4332.0,13310.0,7206.0
1,0.61,0.8200000000000001,5764.0,13747.0,5473.0
1,0.61,0.8300000000000001,5073.0,10732.0,6179.0
1,0.61,0.8400000000000001,5620.0,13768.0,7044.0
1,0.61,0.8500000000000001,6609.0,13969.0,7943.0
1,0.61,0.8600000000000001,3826.0,16064.0,9617.0
1,0.61,0.8700000000000001,8253.0,12966.0,4845.0
1,0.61,0.88,6102.0,14516.0,5867.0
1,0.61,0.89,6352.0,13182.0,6704.0
1,0.61,0.9,4920.0,14612.0,8062.0
2,0.62,0.6,5430.0,10326.0,2622.0
2,0.62,0.61,3720.0,10430.0,6136.0
2,0.62,0.62,6162.0,10278.0,5771.0
2,0.62,0.63,2972.0,11340.0,3125.0
2,0.62,0.64,6251.0,10270.0,5296.0
2,0.62,0.65,3493.0,11649.0,6104.0
2,0.62,0.66,5414.0,11514.0,5069.0
2,0.62,0.6699999999999999,3831.0,11234.0,7193.0
2,0.62,0.6799999999999999,5039.0,9688.0,7090.0
2,0.62,0.69,2439.0,11977.0,4127.0
2,0.62,0.7,8462.0,11470.0,4221.0
2,0.62,0.71,4392.0,11162.0,7488.0
2,0.62,0.72,5984.0,12401.0,3299.0
2,0.62,0.73,5703.0,12213.0,5082.0
2,0.62,0.74,5893.0,12414.0,5851.0
2,0.62,0.75,5108.0,12505.0,6211.0
2,0.62,0.76,4789.0,12832.0,4085.0
2,0.62,0.77,5771.0,12937.0,6761.0
2,0.62,0.78,4472.0,11298.0,4255.0
2,0.62,0.79,3240.0,12579.0,6447.0
2,0.62,0.8,5491.0,13005.0,8028.0
2,0.62,0.81,3768.0,13298.0,8023.0
2,0.62,0.8200000000000001,7159.0,10553.0,7372.0
2,0.62,0.8300000000000001,6394.0,13706.0,7715.0
2,0.62,0.8400000000000001,4047.0,13720.0,5970.0
2,0.62,0.8500000000000001,6146.0,14156.0,5049.0
2,0.62,0.8600000000000001,2326.0,14648.0,5563.0
2,0.62,0.8700000000000001,6683.0,15961.0,7585.0
2,0.62,0.88,7538.0,14266.0,5975.0
2,0.62,0.89,8111.0,13449.0,7106.0
2,0.62,0.9,5793.0,15105.0,7212.0
3,0.63,0.6,2522.0,11675.0,5540.0
3,0.63,0.61,5667.0,10776.0,4366.0
3,0.63,0.62,4716.0,10298.0,6891.0
3,0.63,0.63,4456.0,10314.0,6388.0
3,0.63,0.64,4683.0,11139.0,4439.0
3,0.63,0.65,4544.0,11550.0,4342.0
3,0.63,0.66,5101.0,10965.0,4892.0
3,0.63,0.6699999999999999,3894.0,12345.0,4709.0
3,0.63,0.6799999999999999,6244.0,11462.0,6074.0
3,0.63,0.69,4371.0,12237.0,5646.0
3,0.63,0.7,5989.0,11572.0,5452.0
3,0.63,0.71,3425.0,11426.0,2208.0
3,0.63,0.72,3690.0,11890.0,2950.0
3,0.63,0.73,5039.0,12373.0,6664.0
3,0.63,0.74,5780.0,10523.0,4160.0
3,0.63,0.75,5469.0,10319.0,7900.0
3,0.63,0.76,5423.0,12645.0,6663.0
3,0.63,0.77,4774.0,11642.0,4088.0
3,0.63,0.78,6374.0,13661.0,6261.0
3,0.63,0.79,4597.0,12944.0,4031.0
3,0.63,0.8,6402.0,14133.0,5855.0
3,0.63,0.81,4926.0,13846.0,5097.0
3,0.63,0.8200000000000001,8325.0,12490.0,5881.0
3,0.63,0.8300000000000001,5639.0,13459.0,8105.0
3,0.63,0.8400000000000001,3966.0,14119.0,6232.0
3,0.63,0.8500000000000001,6874.0,12019.0,7892.0
3,0.63,0.8600000000000001,4266.0,14114.0,9204.0
3,0.63,0.8700000000000001,3937.0,13750.0,8545.0
3,0.63,0.88,4688.0,12414.0,8773.0
