iteration,owner_loss,other_loss,u1,u2,u3
0,0.6,0.6,8808.0,6623.0,7442.0
0,0.6,0.61,7729.0,7370.0,7589.0
0,0.6,0.62,7433.0,7625.0,7408.0
0,0.6,0.63,7679.0,8279.0,6864.0
0,0.6,0.64,7569.0,8092.0,8776.0
0,0.6,0.65,8461.0,7455.0,7192.0
0,0.6,0.66,8241.0,7597.0,9287.0
0,0.6,0.6699999999999999,7221.0,7598.0,7666.0
0,0.6,0.6799999999999999,7538.0,9375.0,8385.0
0,0.6,0.69,7730.0,8200.0,7483.0
0,0.6,0.7,7931.0,8692.0,9420.0
0,0.6,0.71,8447.0,8361.0,8518.0
0,0.6,0.72,8274.0,9683.0,7947.0
0,0.6,0.73,7738.0,9219.0,8630.0
0,0.6,0.74,7882.0,7350.0,10540.0
0,0.6,0.75,7964.0,7545.0,9036.0
0,0.6,0.76,8598.0,8629.0,9447.0
0,0.6,0.77,8249.0,8087.0,9639.0
0,0.6,0.78,8919.0,7538.0,9988.0
0,0.6,0.79,8780.0,9414.0,9895.0
0,0.6,0.8,7918.0,9091.0,9565.0
0,0.6,0.81,11410.0,9616.0,8936.0
0,0.6,0.8200000000000001,9655.0,9604.0,9227.0
0,0.6,0.8300000000000001,7734.0,10330.0,9528.0
0,0.6,0.8400000000000001,9015.0,8194.0,11232.0
0,0.6,0.8500000000000001,11298.0,9311.0,11326.0
0,0.6,0.8600000000000001,10815.0,10144.0,10447.0
0,0.6,0.8700000000000001,8671.0,8707.0,11934.0
0,0.6,0.88,9839.0,9686.0,13636.0
0,0.6,0.89,10237.0,10133.0,11864.0
0,0.6,0.9,10695.0,9574.0,11866.0
1,0.61,0.6,8728.0,6294.0,7858.0
1,0.61,0.61,7188.0,7386.0,8047.0
1,0.61,0.62,8028.0,7079.0,7182.0
1,0.61,0.63,7317.0,6924.0,7648.0
1,0.61,0.64,8899.0,7649.0,6929.0
1,0.61,0.65,8460.0,7227.0,7900.0
1,0.61,0.66,8332.0,7443.0,8015.0
1,0.61,0.6699999999999999,8223.0,9486.0,7450.0
1,0.61,0.6799999999999999,8754.0,8722.0,7981.0
1,0.61,0.69,8199.0,7303.0,8382.0
1,0.61,0.7,9341.0,8818.0,7121.0
1,0.61,0.71,8098.0,8829.0,8376.0
1,0.61,0.72,7577.0,8779.0,8103.0
1,0.61,0.73,8059.0,8615.0,8680.0
1,0.61,0.74,9447.0,8368.0,9313.0
1,0.61,0.75,9020.0,7854.0,9376.0
1,0.61,0.76,9644.0,7623.0,9060.0
1,0.61,0.77,10674.0,7182.0,8926.0
1,0.61,0.78,8630.0,9942.0,9565.0
1,0.61,0.79,8410.0,9153.0,10347.0
1,0.61,0.8,8700.0,7866.0,9938.0
1,0.61,0.81,9626.0,9847.0,9929.0
1,0.61,0.8200000000000001,8497.0,9228.0,10556.0
1,0.61,0.8300000000000001,9612.0,9723.0,10383.0
1,0.61,0.8400000000000001,11825.0,8156.0,9424.0
1,0.61,0.8500000000000001,10146.0,8785.0,11792.0
1,0.61,0.8600000000000001,10519.0,8940.0,11037.0
1,0.61,0.8700000000000001,8839.0,10002.0,11998.0
1,0.61,0.88,11906.0,8992.0,12112.0
1,0.61,0.89,12410.0,10068.0,11410.0
1,0.61,0.9,10372.0,12605.0,12138.0
2,0.62,0.6,8110.0,7452.0,7367.0
2,0.62,0.61,8060.0,8416.0,6675.0
2,0.62,0.62,8207.0,8298.0,6715.0
2,0.62,0.63,7441.0,7361.0,8542.0
2,0.62,0.64,7729.0,6881.0,8909.0
2,0.62,0.65,8164.0,7487.0,8141.0
2,0.62,0.66,7879.0,7199.0,8905.0
2,0.62,0.6699999999999999,8340.0,8513.0,7174.0
2,0.62,0.6799999999999999,8031.0,8294.0,7879.0
2,0.62,0.69,7972.0,9621.0,7531.0
2,0.62,0.7,7873.0,7437.0,8855.0
2,0.62,0.71,8747.0,7783.0,8341.0
2,0.62,0.72,9714.0,7958.0,8168.0
2,0.62,0.73,7985.0,8417.0,9332.0
2,0.62,0.74,9978.0,8847.0,7359.0
2,0.62,0.75,8600.0,9245.0,9602.0
2,0.62,0.76,7398.0,10046.0,9549.0
2,0.62,0.77,8250.0,8963.0,9700.0
2,0.62,0.78,9538.0,8936.0,8678.0
2,0.62,0.79,10589.0,8855.0,8965.0
2,0.62,0.8,9448.0,10145.0,9131.0
2,0.62,0.81,9740.0,7736.0,10021.0
2,0.62,0.8200000000000001,8665.0,9702.0,10479.0
2,0.62,0.8300000000000001,9209.0,10194.0,10675.0
2,0.62,0.8400000000000001,11203.0,9418.0,10132.0
2,0.62,0.8500000000000001,10508.0,9358.0,10912.0
2,0.62,0.8600000000000001,11181.0,10183.0,10738.0
2,0.62,0.8700000000000001,10606.0,9658.0,10955.0
2,0.62,0.88,10246.0,9387.0,12715.0
2,0.62,0.89,9878.0,8760.0,12664.0
2,0.62,0.9,10142.0,11163.0,11399.0
3,0.63,0.6,7285.0,7540.0,8075.0
3,0.63,0.61,7516.0,7638.0,7486.0
3,0.63,0.62,7919.0,6698.0,8755.0
3,0.63,0.63,7290.0,7562.0,8487.0
3,0.63,0.64,7909.0,8271.0,7305.0
3,0.63,0.65,9078.0,7196.0,7345.0
3,0.63,0.66,8815.0,7296.0,7874.0
3,0.63,0.6699999999999999,8009.0,8939.0,8244.0
3,0.63,0.6799999999999999,7251.0,7365.0,9337.0
3,0.63,0.69,9936.0,6971.0,7305.0
3,0.63,0.7,8427.0,8658.0,9012.0
3,0.63,0.71,8919.0,8879.0,8658.0
3,0.63,0.72,9050.0,6588.0,9623.0
3,0.63,0.73,8707.0,7332.0,9438.0
3,0.63,0.74,7999.0,9504.0,9228.0
3,0.63,0.75,8102.0,9876.0,9447.0
3,0.63,0.76,9134.0,9548.0,8658.0
3,0.63,0.77,9715.0,8842.0,8685.0
3,0.63,0.78,9133.0,7366.0,10891.0
3,0.63,0.79,9416.0,8370.0,10279.0
3,0.63,0.8,10417.0,8611.0,9571.0
3,0.63,0.81,9369.0,9376.0,10417.0
3,0.63,0.8200000000000001,9022.0,8836.0,10146.0
3,0.63,0.8300000000000001,8776.0,9688.0,10527.0
3,0.63,0.8400000000000001,10869.0,9536.0,10400.0
3,0.63,0.8500000000000001,12104.0,9543.0,10454.0
3,0.63,0.8600000000000001,10523.0,8906.0,10732.0
3,0.63,0.8700000000000001,9872.0,10748.0,10860.0
3,0.63,0.88,10687.0,11162.0,11609.0
3,0.63,0.89,9903.0,10033.0,12150.0
3,0.63,0.9,10683.0,11749.0,10781.0
4,0.64,0.6,9247.0,8515.0,6453.0
4,0.64,0.61,7693.0,7068.0,8449.0
4,0.64,0.62,7864.0,8178.0,7854.0
4,0.64,0.63,7615.0,7842.0,7054.0
4,0.64,0.64,7585.0,7746.0,7511.0
4,0.64,0.65,7502.0,8140.0,8058.0
4,0.64,0.66,9407.0,7888.0,7926.0
4,0.64,0.6699999999999999,8017.0,9038.0,7363.0
4,0.64,0.6799999999999999,8225.0,7331.0,9506.0
4,0.64,0.69,9616.0,8225.0,7353.0
4,0.64,0.7,7732.0,8462.0,9262.0
4,0.64,0.71,9367.0,7342.0,8761.0
4,0.64,0.72,8103.0,7528.0,9532.0
4,0.64,0.73,9571.0,8647.0,7969.0
4,0.64,0.74,8756.0,8963.0,8290.0
4,0.64,0.75,9814.0,8247.0,9183.0
4,0.64,0.76,8835.0,9455.0,9022.0
4,0.64,0.77,9304.0,8603.0,9084.0
4,0.64,0.78,8886.0,10253.0,8948.0
4,0.64,0.79,9960.0,8370.0,10028.0
4,0.64,0.8,8932.0,8848.0,10584.0
4,0.64,0.81,9173.0,9264.0,10081.0
4,0.64,0.8200000000000001,11276.0,10520.0,9169.0
4,0.64,0.8300000000000001,8375.0,8966.0,11116.0
4,0.64,0.8400000000000001,9070.0,10714.0,9856.0
4,0.64,0.8500000000000001,10280.0,9370.0,11529.0
4,0.64,0.8600000000000001,11087.0,8115.0,11200.0
4,0.64,0.8700000000000001,9669.0,10990.0,10959.0
4,0.64,0.88,11036.0,10300.0,12029.0
4,0.64,0.89,9445.0,8850.0,12083.0
4,0.64,0.9,11597.0,10472.0,12149.0
5,0.65,0.6,7866.0,6954.0,8040.0
5,0.65,0.61,8009.0,6740.0,9147.0
5,0.65,0.62,8088.0,8521.0,6680.0
5,0.65,0.63,7521.0,7561.0,8275.0
5,0.65,0.64,9129.0,7306.0,7278.0
5,0.65,0.65,9595.0,7785.0,7672.0
5,0.65,0.66,7857.0,7626.0,8935.0
5,0.65,0.6699999999999999,8677.0,8552.0,8163.0
5,0.65,0.6799999999999999,9467.0,7449.0,8052.0
5,0.65,0.69,7705.0,8960.0,8629.0
5,0.65,0.7,8555.0,7447.0,8757.0
5,0.65,0.71,8760.0,8386.0,8202.0
5,0.65,0.72,8672.0,8389.0,8269.0
5,0.65,0.73,9711.0,8368.0,7874.0
5,0.65,0.74,9262.0,8003.0,9075.0
5,0.65,0.75,8506.0,8837.0,9804.0
5,0.65,0.76,8754.0,8091.0,8856.0
5,0.65,0.77,9457.0,8457.0,9836.0
