OKRSEK (e);M(e);u1;u2;u3;o1;o2;o3
1;6352;1063.2540087000002;1641.090687339062;3647.655303960938;1.0;0.0;0.0
2;1903;318.54573540000007;1316.7012498999998;0.0;1.0;0.0;0.0
3;1835;1651.5;0.0;0.0;1.0;0.0;0.0
4;5103;854.2382634000002;1302.6205790437498;1622.3374823062497;1.0;0.0;0.0
5;3411;571.0864986000001;1084.3536650062497;1275.63686409375;1.0;0.0;0.0
6;6472;1850.3475418948965;2250.462361292603;2371.1900968125;0.0;0.75;1.0
7;1384;0.0;209.90553649240712;0.0;0.0;0.75;1.0
8;2802;0.0;1738.3674355957032;0.0;0.0;0.75;0.5
9;1795;825.7049441838989;132.27518312021522;0.0;0.0;0.75;0.5
10;2884;1108.397362601074;1775.602637398926;0.0;0.0;0.75;1.0
11;3697;2671.0825;0.0;0.0;0.0;0.75;1.0
12;756;0.0;0.0;0.0;0.5;0.75;0.5
13;651;43.589245319366455;0.0;0.0;0.5;0.5;0.0
14;743;0.0;0.0;0.0;0.5;0.75;0.0
15;1696;1136.1875;0.0;0.0;0.5;0.5;0.0
16;669;0.0;0.0;0.0;0.0;0.75;0.0
17;2279;447.28063440322876;0.0;989.5636317443848;0.5;0.5;0.0
